character,pose,prior_status,priority,reason_summary,review_note
atlas,32,FAIL,identity-critical,"Canonical glove asymmetry is reversed: the reference shows Atlas's right hand gloved, while the candidate has the right hand bare and the left hand gloved. | Requested whispering/cupped-hand pose is clear, and core facial, hair, color, jacket, and C-badge identity otherwise match closely.",review existing PNG before retry
atlas,34,FAIL,identity-critical,The canonical C chest badge is mirrored onto Atlas's right chest; the approved reference places it on his left chest. | This incorrect left/right placement is a signature wardrobe detail and requires failure despite the clearly readable worried/protective pose and otherwise strong identity match.,review existing PNG before retry
atlas,35,FAIL,identity-critical,"C chest badge is on the opposite side from the canonical reference, violating locked asymmetric placement. | Armored glowing palm gauntlets substantially drift from the canonical glove design.",review existing PNG before retry
atlas,36,FAIL,identity-critical,"Asymmetric glove is on Atlas's left hand, while the canonical reference places it on his right hand. | Gloved hand anatomy appears malformed/ambiguous with irregular overlapping digits. | The one-foot balancing pose and core facial/wardrobe identity otherwise read clearly.",review existing PNG before retry
atlas,38,FAIL,identity-critical,"Requested silhouette treatment is absent; the character is fully lit and detailed. | Low-angle camera view is correct, and identity, hair, wardrobe colors, C badge, and footwear generally match the canonical reference.",review existing PNG before retry
atlas,40,FAIL,identity-critical,"Unapproved bronze cybernetic left arm replaces the canonical normal/gloved arm, causing major accessory and identity drift. | Chest C badge shape and design do not match the canonical hexagonal emblem. | Wardrobe construction and detailing significantly deviate from the approved leader jacket despite matching the general colors. | Landing pose is readable, but the canonical design inconsistencies require failure.",review existing PNG before retry
pixel,2,FAIL,identity-critical,"Requested 3/4 facing-left angle is incorrect; character faces toward image-right. | Identity, wardrobe, Keeper C badge, goggles-down scan action, and LEFT-arm scanner gauntlet otherwise match the reference.",review existing PNG before retry
pixel,3,FAIL,identity-critical,"Keeper C badge is missing despite the partially visible chest area | Body proportions drift from the petite lean canonical build, with exaggerated bust and hips | Wardrobe detailing omits canonical orange trim and differs substantially from the approved suit design | Pose and left-arm scanner placement are correct, but signature identity and design identifiers are not",review existing PNG before retry
pixel,8,FAIL,pose-or-detail,"Pose reads as running toward the camera rather than clearly running right. | Expression is a slight smile/neutral confidence, not clearly determined. | Body proportions appear more curvy and mature than the canonical petite lean build.",review existing PNG before retry
pixel,13,FAIL,identity-critical,Scanner gauntlet is on the character's right arm instead of the required LEFT arm. | Body is presented in a three-quarter view rather than a clear right-profile standing pose.,review existing PNG before retry
pixel,26,FAIL,identity-critical,"Peace sign is made with the left hand rather than the requested right hand. | Scanner-like cyan gauntlets appear on both forearms, weakening the required left-arm asymmetry.",review existing PNG before retry
pixel,27,FAIL,identity-critical,"Canonical Keeper C chest badge is missing. | Body proportions drift from the approved petite, lean build, with exaggerated hips. | Core hair, goggles, cyan eyes, techwear, left-arm scanner gauntlet, and dynamic twirl pose otherwise read correctly.",review existing PNG before retry
pixel,29,FAIL,pose-or-detail,"A visible male partner is present, violating the requested back-to-back stance with an invisible partner and the ban on unrequested characters. | The hand-holding interaction weakens the intended independent ready stance.",review existing PNG before retry
pixel,36,FAIL,identity-critical,"The signature scanner gauntlet is prominently placed on the character's RIGHT arm (viewer-left), not the required LEFT arm. | Both forearms have similar heavy tech modules, weakening the canonical asymmetric arm design. | Pose, identity, colors, goggles, C badge, and lack of animal anatomy otherwise match the reference.",review existing PNG before retry
sterling,21,FAIL,identity-critical,"Requested armchair-style seated pose is not readable; the character is standing upright with crossed arms and ankles rather than sitting with one leg crossed. | Identity, wardrobe, emblem, monocle, and overall design otherwise closely match the canonical reference.",review existing PNG before retry
sterling,22,FAIL,identity-critical,"Requested tiptoe stretch is not correctly depicted: both shoes are visibly suspended above the ground, making Sterling appear to levitate rather than balance on his toes. | Canonical identity, wardrobe, monocle placement, colors, and accessories otherwise closely match the approved reference.",review existing PNG before retry
sterling,24,FAIL,identity-critical,Gold monocle is over the character's left eye rather than the required RIGHT eye; this is a locked asymmetric identifier.,review existing PNG before retry
sterling,30,FAIL,pose-or-detail,"No valuable object is present, so the requested action of appraising something valuable is not clearly readable. | Canonical gold wristwatch from the approved reference is missing.",review existing PNG before retry
sterling,37,FAIL,identity-critical,"Canonical waistcoat design has drifted from single-breasted to double-breasted with altered lapels, buttons, and chain placement. | Faction emblem lettering/design does not match the approved master. | Requested side-lying, elbow-propped catalogue pose is otherwise clearly readable and identity is largely consistent.",review existing PNG before retry
echo,3,FAIL,identity-critical,"Canonical master depicts an anthropomorphic owl, while the candidate is a human woman; identity, anatomy, facial geometry, and body proportions do not match. | Canonical wardrobe and signature accessory layout differ substantially despite the shared violet-crystal motif. | The requested back view, visible cape edges, and rear crystals are present, but pose compliance cannot override the major canonical identity drift.",review existing PNG before retry
echo,4,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | Canonical owl-specific head, plumage, wing-like cloak silhouette, and taloned body design are absent from the candidate. | Although the seated wrapped-shawl pose, violet crystals, and C badge are present, they do not overcome the severe canonical identity drift.",review existing PNG before retry
echo,5,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | Wardrobe and accessories substantially drift from the approved master, including the prominent blue technological gauntlet and oversized C badge. | The required canonical identity cannot be reconciled with the candidate despite the arms-wide crystal-broadcasting pose being readable.",review existing PNG before retry
echo,6,FAIL,identity-critical,"Candidate identity and anatomy do not match the approved master reference, which depicts an owl-form character rather than this human design. | Canonical facial geometry, body proportions, wardrobe, footwear, and accessories are substantially different. | Candidate introduces large asymmetric mechanical gauntlets not present in the reference. | Requested hovering, arms-spread mystical pose is readable, but identity/design drift requires failure.",review existing PNG before retry
echo,7,FAIL,identity-critical,"Canonical master depicts an anthropomorphic owl, while the candidate is a human woman; identity, facial geometry, anatomy, and proportions do not match. | Canonical wardrobe, accessories, and emblem design differ substantially despite a similar violet-and-gold motif. | Candidate satisfies the folded-arms dignified pose and human anatomy lock, but cannot match the supplied approved master reference.",review existing PNG before retry
echo,8,FAIL,identity-critical,"Canonical identity mismatch: approved master is an anthropomorphic owl, while the candidate is a human woman with entirely different facial geometry, anatomy, proportions, and design. | Wardrobe, footwear, badge, and accessory configuration do not match the approved master reference. | Although the candidate clearly walks right with violet crystals trailing, pose compliance cannot overcome the fundamental identity drift.",review existing PNG before retry
echo,9,FAIL,identity-critical,"Candidate is a human woman, while the approved master depicts an anthropomorphic owl; canonical facial geometry, body proportions, and species identity do not match. | Canonical wardrobe, accessories, and signature design placement substantially differ despite the crystal motif. | The pointing-at-crystal pose is clear, but identity mismatch is disqualifying.",review existing PNG before retry
echo,10,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman; identity, facial geometry, species, and body proportions do not match. | Canonical wardrobe and accessory layout differ substantially despite shared violet-crystal motifs. | Requested upward gaze and glowing-eye signal-reception pose are readable, but canonical identity mismatch is decisive.",review existing PNG before retry
echo,11,FAIL,identity-critical,"Candidate is a human woman, while the approved master depicts an owl-bodied character; facial geometry, anatomy, proportions, and canonical identity do not match. | Wardrobe and accessory design substantially drift from the master reference despite retaining violet crystals. | The wave is friendly but lacks a clearly ethereal visual quality.",review existing PNG before retry
echo,12,FAIL,identity-critical,"Canonical identity mismatch: approved master is an anthropomorphic owl, while the candidate is a human woman. | Facial geometry, species, body proportions, hairstyle, and anatomy do not match the approved reference. | Wardrobe and accessory design substantially drift from the canonical master despite retaining violet crystals and a dark-violet palette.",review existing PNG before retry
echo,14,FAIL,identity-critical,"Canonical identity mismatch: the approved master depicts an anthropomorphic owl, while the candidate is a human woman. | Facial geometry, body proportions, hairstyle, wardrobe, footwear, and Keeper insignia do not match the master reference. | Requested hands-on-hips pose and sassy expression are readable, but identity/design drift requires failure.",review existing PNG before retry
echo,15,FAIL,identity-critical,"Large futuristic mechanical forearm device is an unrequested, noncanonical accessory and creates significant wardrobe/design drift from the approved reference. | Canonical identity cannot be fully reconciled with the owl-form master despite the candidate otherwise matching the locked humanized traits. | Requested two-handed glowing violet crystal examination pose is clear, and no animal anatomy or watermark is present.",review existing PNG before retry
echo,17,FAIL,identity-critical,"Canonical identity mismatch: approved master depicts an anthropomorphic owl, while the candidate is human. | Facial geometry, anatomy, proportions, hairstyle, and footwear do not match the master reference. | Wardrobe and accessories drift substantially, including a large technological forearm device and prominent C badge not supported by the reference. | Although the startled expression and scattering violet crystals are clear, pose compliance cannot override the identity mismatch.",review existing PNG before retry
echo,18,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | Requested fingertip-to-chin pose is not exact; an unrequested stylus/pen is placed against the chin instead. | Canonical wardrobe, accessories, emblem placement, and signature design do not match the approved master.",review existing PNG before retry
echo,19,FAIL,identity-critical,"Canonical reference depicts an owl character, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | Candidate wardrobe, badge, hairstyle, footwear, and accessories do not match the approved master design. | Although the celebratory arms-up pose and spinning violet crystals are clear, pose compliance cannot overcome the canonical identity drift.",review existing PNG before retry
echo,21,FAIL,identity-critical,"Canonical identity mismatch: the approved master is an owl character, while the candidate is a human woman with entirely different facial geometry, anatomy, and proportions. | Canonical wardrobe/accessory design is substantially reinterpreted rather than matched, despite retaining the violet-crystal palette and C badge. | The requested relaxed, legs-tucked-under sitting pose is clearly shown, but pose compliance does not overcome the identity drift.",review existing PNG before retry
echo,22,FAIL,identity-critical,"Canonical identity mismatch: approved master is an anthropomorphic owl, while candidate is a human woman. | Facial geometry, body proportions, hairstyle, skin, limbs, and footwear do not match the master reference. | Wardrobe and accessories substantially drift from the master, including unapproved asymmetric mechanical forearms. | Requested full-span cape pose is clear, but identity consistency is not satisfied.",review existing PNG before retry
echo,23,FAIL,identity-critical,"Major canonical design drift: the right arm is an unrequested cybernetic prosthetic absent from the character lock/reference. | The shawl has expanded into a large asymmetric cape rather than the specified small shawl/cape. | The crystal is visibly levitated, but an actual projected memory is not clearly readable.",review existing PNG before retry
echo,24,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | Wardrobe, badge, cape construction, and accessory layout do not match the approved master design despite sharing a violet crystal motif.",review existing PNG before retry
echo,26,FAIL,identity-critical,"Candidate is a human woman, while the approved master depicts an owl character; canonical identity, facial geometry, and body proportions do not match. | Wardrobe silhouette and anatomy differ substantially from the master despite retaining violet crystal motifs. | The requested crystal-presenting pose is clear, but identity drift requires failure.",review existing PNG before retry
echo,27,FAIL,identity-critical,"Canonical reference depicts an owl character, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | The candidate’s wardrobe and large blue Keeper C badge materially differ from the reference design. | The crystal ring is visible, but the character’s body pose does not clearly communicate spinning.",review existing PNG before retry
echo,28,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is human, causing fundamental identity, facial geometry, anatomy, and proportion drift. | Canonical wardrobe and accessories do not match closely enough despite shared gray-violet, gold, and crystal motifs. | Requested forward-leaning, curious pose is clear, but identity mismatch requires failure.",review existing PNG before retry
echo,29,FAIL,identity-critical,"Candidate does not match the approved master reference’s facial geometry, body proportions, species silhouette, or canonical design. | Wardrobe, accessories, and asymmetric arm equipment substantially drift from the reference despite the meditation pose, closed eyes, and violet crystals being present.",review existing PNG before retry
echo,30,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman; facial geometry, species, body proportions, and overall identity do not match. | Canonical wardrobe, accessories, silhouette, and signature design details substantially drift from the approved master. | Although the violet crystals show strong glow and suggest full broadcast, pose compliance cannot override the fundamental identity mismatch.",review existing PNG before retry
echo,31,FAIL,identity-critical,"Canonical identity mismatch: approved master is an owl character, while the candidate is a human woman. | Facial geometry, body proportions, anatomy, and canonical wardrobe differ fundamentally from the master reference. | Although the candidate shows a happy laugh with closed eyes, identity lock compliance cannot be established against the supplied master.",review existing PNG before retry
echo,32,FAIL,identity-critical,"Candidate does not match the canonical master identity or anatomy: it is a human woman while the reference is an anthropomorphic owl. | Facial geometry, body proportions, hairstyle, wardrobe construction, footwear, and signature accessories differ substantially from the approved reference. | Requested whispering pose is readable, but the severe canonical identity/design drift requires failure.",review existing PNG before retry
echo,33,FAIL,identity-critical,"Canonical identity mismatch: approved master is an anthropomorphic owl, while the candidate is human. | Facial geometry, body proportions, hair, anatomy, wardrobe, and footwear do not match the master reference. | The stated human/no-owl lock directly conflicts with the supplied canonical master, so both requirements cannot be satisfied simultaneously.",review existing PNG before retry
echo,34,FAIL,identity-critical,"Candidate does not match the approved master reference, which depicts an owl-form character with radically different facial geometry, anatomy, proportions, and wardrobe design. | The violet crystals appear brightly illuminated rather than visibly dimming, so the requested crystal state is unclear. | Although the human figure reads as concerned, the canonical identity mismatch is decisive.",review existing PNG before retry
echo,35,FAIL,identity-critical,"Canonical identity mismatch: approved master is an anthropomorphic owl, while candidate is human. | Facial geometry, body proportions, hair, anatomy, and footwear do not match the master reference. | Wardrobe and accessories drift substantially, including an unreferenced mechanical gauntlet. | Pose and forward violet crystals are readable, but cannot overcome the major identity/design mismatch.",review existing PNG before retry
echo,36,FAIL,identity-critical,"Canonical master depicts an anthropomorphic owl, while the candidate is a human woman, causing a fundamental identity, facial-geometry, anatomy, and proportion mismatch. | Wardrobe, footwear, badge placement, hairstyle, and accessory design do not match the approved master. | The one-foot balance pose is clear, but pose compliance cannot overcome the severe canonical identity drift.",review existing PNG before retry
echo,37,FAIL,identity-critical,"Canonical identity mismatch: approved master is an anthropomorphic owl, while the candidate is a human woman. | Facial geometry, anatomy, body proportions, hairstyle, and footwear do not match the master reference. | Wardrobe and accessory design substantially drift from the approved owl design despite retaining violet crystals and a similar palette. | Requested sleeping pose and drifting crystals are readable, but pose compliance cannot overcome the major identity mismatch.",review existing PNG before retry
echo,38,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman, causing a fundamental identity, species, facial-geometry, and body-proportion mismatch. | Canonical owl ears, beak, talons, feathered silhouette, and facial markings are absent from the candidate. | Although the worm's-eye view, violet crystals, dark-violet wardrobe, and C badge are present, they do not overcome the canonical identity mismatch.",review existing PNG before retry
echo,39,FAIL,identity-critical,"Canonical master depicts an owl character, while the candidate is a human woman, causing a fundamental identity, species, facial-geometry, and proportion mismatch. | Wardrobe and accessories substantially drift from the approved master, including large technological forearm devices and a different garment construction. | Requested welcoming arms-wide pose and crystal arc are present, but pose compliance cannot overcome the canonical identity mismatch.",review existing PNG before retry
echo,40,FAIL,identity-critical,"Canonical identity does not match the approved master reference, which depicts an owl character rather than a human woman. | Requested landing is unclear; the character appears airborne with no visible ground contact. | Wardrobe, badge, hairstyle, and technological gauntlet substantially drift from the reference design.",review existing PNG before retry
director,3,FAIL,identity-critical,"Requested three-quarter view facing right is not met; the character is oriented toward image-left/front. | Canonical identity, crimson eyes, black-and-crimson wardrobe, and geometric-buckle belt are otherwise retained.",review existing PNG before retry
director,6,FAIL,identity-critical,Locked geometric belt buckle is incorrectly positioned at the center back rather than its canonical front placement. | Wardrobe drifts from the layered futuristic executive/armor design into a simplified leather jumpsuit. | Hair is more tousled and forward-falling than the canonical swept-back style.,review existing PNG before retry
director,23,FAIL,identity-critical,"Locked signature belt is incorrect: the metallic geometric crimson-accent buckle is offset to the character's right, while a different rectangular buckle occupies the center. | Identity, crimson eyes, wardrobe, and surprised reaction otherwise closely match the reference.",review existing PNG before retry
director,25,FAIL,identity-critical,"Canonical crimson cheek marking beneath the character's left eye is missing, causing identity/signature-detail drift. | The heavily cybernetic right arm/gauntlet is not established by the approved reference and constitutes accessory/wardrobe drift. | Serious focused expression, crimson eyes, black-and-crimson suit, and geometric-buckle belt are otherwise present.",review existing PNG before retry
director,28,FAIL,identity-critical,"No object is present, so the extended hand reads as reaching into empty space rather than carefully toward an object. | Identity, crimson eyes, black-and-crimson wardrobe, facial marking, and geometric-buckle belt otherwise closely match the canonical reference.",review existing PNG before retry
director,29,FAIL,identity-critical,"The locked geometric belt buckle appears incorrectly positioned at the center back rather than the front. | The pose reads as a solitary over-the-shoulder stance, not clearly as a back-to-back ready stance. | Wardrobe styling drifts toward a leather tactical suit and lacks some of the master reference's executive tailoring and chest details.",review existing PNG before retry
director,38,FAIL,identity-critical,"Requested silhouette view is not satisfied; the character is fully illuminated with clearly visible facial and wardrobe details against a white background. | Low-angle camera angle is clear, and crimson eyes plus the geometric-buckle belt are retained. | Canonical identity is broadly recognizable, but the build appears more muscular and the hairstyle less swept-back than the approved tall, lean reference.",review existing PNG before retry
counterfeiter,1,FAIL,identity-critical,"Major accessory/wardrobe drift: the candidate has a large exposed clockwork prosthetic forearm, while the approved reference shows a sleeved arm with a bronze glove/gauntlet on that side. | Core identity, red curls, green eyes, facial markings, pendant, palette, expression, and full-body front-facing pose otherwise match well.",review existing PNG before retry
counterfeiter,3,FAIL,identity-critical,"Major identity/design drift: candidate has a full gold mechanical arm and hand absent from the canonical reference. | Canonical sleeve/glove and arm accessories are replaced by unapproved prosthetic anatomy. | Wardrobe silhouette and lower-body design add substantial unverified steampunk elements despite otherwise matching hair, green eyes, palette, and facial identity.",review existing PNG before retry
counterfeiter,18,FAIL,identity-critical,"Major wardrobe/accessory drift: both arms are cybernetic gauntlets, including an unapproved silver/cyan sci-fi prosthetic absent from the canonical reference. | Faction 'C' badges and mechanical knee emblem are unverified additions to the canonical design. | Expression reads as a confident smirk rather than clearly determined, despite the fists-set stance being readable.",review existing PNG before retry
counterfeiter,20,FAIL,identity-critical,"Prominent mechanical/prosthetic left arm is not present in the canonical reference and constitutes major anatomy/accessory drift. | Otherwise the seated relaxed pose, copper hair, green eyes, facial markings, expression, and bronze/teal artisan styling match well.",review existing PNG before retry
counterfeiter,23,FAIL,identity-critical,"Major canonical design drift: candidate adds an elaborate mechanical/prosthetic right arm and large shoulder pauldron not present in the approved reference. | Wardrobe and accessories are substantially more armored and steampunk-styled than the canonical artisan outfit. | Surprised pose and expression are clear, and copper hair, green eyes, facial mark, and overall palette are retained.",review existing PNG before retry
counterfeiter,28,FAIL,pose-or-detail,No object is present for the requested interaction; the extended hand reads as reaching toward the camera rather than carefully toward a visible object.,review existing PNG before retry
counterfeiter,29,FAIL,identity-critical,"Prominent mechanical/prosthetic left arm is not part of the approved master design and constitutes major anatomy/accessory drift. | Canonical green pendant is missing. | Hand-on-hip fashion pose does not clearly read as a ready stance, despite the over-shoulder orientation.",review existing PNG before retry
counterfeiter,34,FAIL,identity-critical,"Canonical asymmetric hand/arm styling is reversed: the approved reference shows the bronze/gold hand on her left (image-right), while the candidate places the mechanical bronze arm on her right (image-left) and a dark glove on her left. | The candidate substantially expands the canonical gold hand treatment into a full mechanical forearm, creating accessory/design drift. | Worried expression and protective gesture are otherwise clearly readable, with matching copper hair, green eyes, and bronze/",review existing PNG before retry
counterfeiter,38,FAIL,identity-critical,"Requested silhouette view is not satisfied; the character is fully lit with facial, wardrobe, and material details clearly visible. | Although the low camera angle and core identity are recognizable, failure of the required silhouette presentation is decisive.",review existing PNG before retry
counterfeiter,39,FAIL,identity-critical,"The requested arms-spread presenting pose and core facial identity are clear. | Canonical left-hand accessory drifts: the approved reference shows a bronze/gold articulated glove with a slim blue cuff, while the candidate introduces a bulky black/blue technological gauntlet with a glowing circular device. | This unapproved asymmetric gauntlet materially changes the canonical wardrobe/accessory design.",review existing PNG before retry
counterfeiter,40,FAIL,identity-critical,"Major identity/accessory drift: the candidate has an elaborate cybernetic left forearm and hand absent from the canonical reference. | Canonical left/right arm styling is not preserved; the reference shows conventional bronze artisan attire/gloves. | The dramatic landing pose, red/copper hair, green eyes, and general wardrobe palette match, but the unapproved prosthetic is a disqualifying design change.",review existing PNG before retry
restorer,3,FAIL,identity-critical,"Pose reads as three-quarter facing left/near-frontal, not clearly facing right. | Large cybernetic forearm and hand are unapproved accessory/anatomy drift from the canonical humanized design. | Canonical peacock signature treatment is reduced/altered, weakening approved identity consistency.",review existing PNG before retry
restorer,5,FAIL,identity-critical,"Pose is not a strict right profile: the head is near-profile, but the torso and legs remain clearly three-quarter. | Faction emblem drifts from the canonical turquoise-gem design by adding a prominent letter-like C. | Coat decoration is substantially altered with large peacock-feather graphics not established on the approved master.",review existing PNG before retry
restorer,6,FAIL,identity-critical,"Major accessory/anatomy drift: the candidate has an elaborate exposed cybernetic right arm not established in the canonical reference. | Wardrobe detailing is substantially altered, replacing the reference's clinical coat markings with prominent peacock-feather graphics and an oversized back emblem. | The back-view over-shoulder pose is clear, but canonical identity preservation fails due to the unapproved design additions.",review existing PNG before retry
restorer,7,FAIL,identity-critical,"Major accessory/wardrobe drift: candidate has a prominent cybernetic forearm/gauntlet not present in the canonical reference. | Canonical facial markings beneath the eyes are missing or substantially altered. | Arms-crossed pose, confident expression, hair, coat, palette, and emblem otherwise align.",review existing PNG before retry
restorer,8,FAIL,identity-critical,"Prominent cybernetic left forearm and hand are not established in the canonical reference and constitute major anatomy/accessory drift. | The walking-forward pose, facial identity, hairstyle, white coat, peacock cues, and chest emblem otherwise align well with the reference.",review existing PNG before retry
restorer,10,FAIL,identity-critical,"Signature peacock/cybernetic apparatus is on the wrong side versus the canonical reference. | Candidate adds a prominent fully mechanical arm not established by the approved master. | Chest emblem drifts from the canonical blue-diamond design by adding a conspicuous letter C. | Although the left-pointing pose is clear, asymmetric identity and accessory details are incorrect.",review existing PNG before retry
restorer,13,FAIL,identity-critical,"Large mechanical forearm gauntlet is an unapproved accessory/prop absent from the canonical reference and causes major design drift. | Chest emblem differs from the canonical teal jewel insignia by adding a prominent letter-like mark. | Hands-on-hips pose, facial identity, hairstyle, palette, coat, and footwear are otherwise clearly readable and broadly consistent.",review existing PNG before retry
restorer,14,FAIL,identity-critical,"Major accessory drift: candidate adds a prominent cybernetic forearm/gauntlet not present in the approved master. | Canonical peacock-feather silhouette behind the character is missing or replaced by coat-lining motifs. | Thoughtful hand-at-chin pose and core facial, hair, coat, color, and chest-emblem identity otherwise match.",review existing PNG before retry
